Регион;Среднемесячный размер социальной поддержки на одного пользователя;Количество преступлений на 100000 человек;Общая площадь жилых помещений;Процент населения с доходами ниже величины ПМ
Алтайский край;789.51;1634.50;56013.4;17.5
Амурская область;1156.47;2196.30;19864.9;15.9
Архангельская область;974.21;1715.90;31754;13.9
Архангельская область (без АО);962.37;1706.70;30652;13.5
Астраханская область;661.32;1319.60;24139.1;16
Белгородская область;583.21;849.30;47380.8;7.9
Брянская область;471.50;1179.80;35574.3;13.5
Владимирская область;727.65;1252.50;39346.4;13
Волгоградская область;476.67;1528.60;60501.9;14.4
Вологодская область;942.92;1518.30;34859.2;13.6
Воронежская область;602.33;1255.80;68713.3;9.1
Г.Москва;866.47;1123.80;241580.2;7.8
Г.Санкт-Петербург;1093.99;960.80;133129.9;7.5
Г.Севастополь;117.39;935.00;11125.8;13.9
Еврейская автономная область;1058.79;2260.90;3729.4;24.9
Забайкальский край;720.06;2268.90;22540.1;21.5
Ивановская область;649.82;1383.30;26553.4;14.3
Иркутская область;729.79;1870.50;59147.2;18.4
Кабардино-Балкарская Республика;492.46;764.60;16779.9;24.8
Калининградская область;529.25;1380.90;27965.1;13.8
Калужская область;633.12;1673.80;29920.1;10.4
Камчатский край;2127.42;1894.40;8062.6;17.5
Карачаево-Черкесская Республика;640.66;872.00;9744.3;24.7
Кемеровская область - Кузбасс;442.53;1970.00;66361.1;15.3
Кировская область;588.75;1586.40;33463.4;15.7
Костромская область;811.47;1238.70;17647.3;13
Краснодарский край;713.72;1215.70;143945.6;11.1
Красноярский край;962.35;1595.80;70797.6;18.5
Курганская область;683.93;2065.00;21149.4;19.6
Курская область;540.50;1094.80;33419.2;10.2
Ленинградская область;709.00;1195.10;51552.7;9.4
Липецкая область;492.09;1073.20;34833;8.8
Магаданская область;1757.16;2048.00;4335.8;11.6
Московская область;932.66;1070.20;238457.3;7.9
Мурманская область;1320.53;1603.70;19026.6;12.6
Ненецкий автономный округ;1463.72;1947.90;1102;11.4
Нижегородская область;702.39;1287.20;86524.2;9.9
Новгородская область;795.55;1795.10;18905.2;14.1
Новосибирская область;626.42;1710.50;68897.1;16.5
Омская область;800.52;1373.80;47964.5;13.9
Оренбургская область;471.70;1326.20;50919.6;14.6
Орловская область;597.24;1203.50;21025.1;13.9
Пензенская область;852.38;963.40;38493.3;14
Пермский край;671.39;1609.00;61849.1;14.9
Приморский край;815.40;1715.90;43830.9;14.5
Псковская область;574.43;1251.00;19361.1;17.9
Республика Адыгея;598.46;905.70;12106.2;13.5
Республика Алтай;956.65;2110.40;4510.7;25.8
Республика Башкортостан;700.15;1413.30;103082;12.3
Республика Бурятия;451.42;2388.10;21503.5;18.1
Республика Дагестан;385.37;483.30;58740.2;15.5
Республика Ингушетия*;390.76;339.10;7316.4;32
Республика Калмыкия;798.57;998.10;6666.5;24.8
Республика Карелия;1183.11;1920.40;16339.4;17.3
Республика Коми;879.50;1990.10;23455.2;16.8
Республика Крым;346.94;1171.20;33491.7;19.1
Республика Марий Эл;650.21;1123.20;17998;22.1
Республика Мордовия;596.02;960.20;21906.3;18.6
Республика Саха;1699.61;1237.80;21307.1;20.1
Республика Северная Осетия-Алания;575.70;1026.60;19915.6;14.4
Республика Татарстан;526.22;1119.20;101854.8;7.4
Республика Тыва;413.01;2876.40;4481.8;40.5
Республика Хакасия;466.49;2035.30;12593.8;18
Ростовская область;866.77;1314.10;104291.9;13.9
Рязанская область;608.22;833.50;34002.8;13
Самарская область;606.36;1298.30;83767.8;13.4
Саратовская область;620.50;1178.70;71031.6;16.8
Сахалинская область;1087.31;2039.20;12798.9;9.8
Свердловская область;881.64;1281.60;111053.9;9.8
Смоленская область;665.55;1319.30;26989.8;16.6
Ставропольский край;1000.29;1153.40;67935.6;13.8
Тамбовская область;674.91;1162.00;29535.6;10.5
Тверская область;736.45;1525.20;40223.2;12.7
Томская область;930.47;1656.40;25952.4;16
Тульская область;702.35;900.40;41944.8;9.9
Тюменская область;993.03;1479.30;86791.7;14
Тюменская область (без АО);962.26;1710.70;41226.2;15
Удмуртская Республика;729.74;1671.70;33383.6;12.2
Ульяновская область;766.77;1056.90;34236.4;14.9
Хабаровский край;1139.49;1694.60;31254;12.3
Ханты-Мансийский автономный округ;1005.79;1285.50;34421.9;11.1
Челябинская область;879.76;1856.90;90185.9;13.5
Чеченская Республика;1063.35;231.70;25988.5;20.7
Чувашская Республика - Чувашия;398.15;960.40;33155.6;18.5
Чукотский автономный округ;1276.98;1515.80;1190.3;9
Ямало-Ненецкий автономный округ;1032.12;1430.70;11143.6;6.5
Ярославская область;888.13;1320.20;34308.5;10.5
